query_set,strategy,cache_mode,token_threshold,routing_accuracy,nano_total_latency_ms,nano_total_energy_mJ,nano_avg_power_mW,nano_total_tokens,nano_latency_per_token_ms,nano_energy_per_token_mJ,orin_total_latency_ms,orin_total_energy_mJ,orin_avg_power_mW,orin_total_tokens,orin_latency_per_token_ms,orin_energy_per_token_mJ,overall_total_latency_ms,overall_total_energy_mJ,overall_total_tokens,overall_latency_per_token_ms,overall_energy_per_token_mJ
general_knowledge,token,off,100,,529993,2557023.319,4824.636022,454,1167.385463,5632.209954,721127,3929743.384,5449.447024,148,4872.47973,26552.320162,1251120,6486766.703,602,2078.272425,10775.359972
general_knowledge,token,off,500,,548786,2685404.298,4893.354236,449,1222.240535,5980.855898,720349,3835286.902,5324.206603,148,4867.222973,25914.100689,1269135,6520691.2,597,2125.854271,10922.430821
general_knowledge,token,off,1000,,1278784,6472264.518,5061.264856,568,2251.380282,11394.831898,0,0,0.0,0,,,1278784,6472264.518,568,2251.380282,11394.831898
general_knowledge,token,off,2000,,1304687,6735557.462,5162.584943,572,2280.921329,11775.450108,0,0,0.0,0,,,1304687,6735557.462,572,2280.921329,11775.450108
general_knowledge,token,off,4000,,1304275,6731630.41,5161.204815,572,2280.201049,11768.584633,0,0,0.0,0,,,1304275,6731630.41,572,2280.201049,11768.584633
general_knowledge,token,on,100,,583312,2989279.52,5124.666594,448,1302.035714,6672.498929,720756,3842812.245,5331.641006,148,4869.972973,25964.947601,1304068,6832091.765,596,2188.033557,11463.241216
general_knowledge,token,on,500,,608286,3114803.341,5120.623097,457,1331.041575,6815.762234,540481,2879684.905,5328.003954,111,4869.198198,25943.107252,1148767,5994488.246,568,2022.477113,10553.676489
general_knowledge,token,on,1000,,1301474,6681947.472,5134.138271,539,2414.608534,12396.934085,0,0,0.0,0,,,1301474,6681947.472,539,2414.608534,12396.934085
general_knowledge,token,on,2000,,1188250,6094683.243,5129.125389,556,2137.140288,10961.660509,0,0,0.0,0,,,1188250,6094683.243,556,2137.140288,10961.660509
general_knowledge,token,on,4000,,1298624,6661252.934,5129.470065,533,2436.442777,12497.660289,0,0,0.0,0,,,1298624,6661252.934,533,2436.442777,12497.660289
general_knowledge,heuristic,off,1000,,586490,2985920.597,5091.170518,409,1433.96088,7300.539357,720665,3829668.008,5314.075206,148,4869.358108,25876.135189,1307155,6815588.605,557,2346.777379,12236.245251
general_knowledge,heuristic,on,1000,,585655,2983412.85,5094.147322,409,1431.919315,7294.407946,720623,3837732.931,5325.576523,148,4869.074324,25930.627912,1306278,6821145.781,557,2345.202873,12246.222228
general_knowledge,semantic,off,1000,,586384,2991468.544,5101.55213,419,1399.484487,7139.543064,720898,3844460.292,5332.876901,148,4870.932432,25976.083054,1307282,6835928.836,567,2305.611993,12056.31188
general_knowledge,semantic,on,1000,,586138,2981005.061,5085.841664,419,1398.897375,7114.570551,720930,3834602.766,5318.966843,148,4871.148649,25909.478149,1307068,6815607.827,567,2305.234568,12020.472358
general_knowledge,hybrid,off,1000,,663956,3374641.265,5082.627862,475,1397.802105,7104.507926,360422,1917838.446,5321.091515,74,4870.567568,25916.735757,1024378,5292479.711,549,1865.897996,9640.218053
general_knowledge,hybrid,on,1000,,613790,3125999.05,5092.945551,445,1379.303371,7024.716966,540766,2889924.798,5344.131839,111,4871.765766,26035.358541,1154556,6015923.848,556,2076.539568,10820.006921
general_knowledge,perf,off,1000,,1296115,6650829.804,5131.357792,539,2404.666048,12339.201863,0,0,0.0,0,,,1296115,6650829.804,539,2404.666048,12339.201863
general_knowledge,perf,on,1000,,1019488,5217040.049,5117.313837,532,1916.330827,9806.466258,0,0,0.0,0,,,1019488,5217040.049,532,1916.330827,9806.466258
